Order,Family,Genus,Species,Mass_g
Carnivora,Mustelidae,Lontra,longicaudis,6554.959
Carnivora,Mustelidae,Lontra,canadensis,8087.420
Carnivora,Mustelidae,Martes,americana,1250.000
Carnivora,Mustelidae,Martes,pennanti,4000.000
Carnivora,Mustelidae,Mephitis,macroura,801.254
Carnivora,Mustelidae,Mephitis,mephitis,2085.019
Carnivora,Mustelidae,Mustela,nivalis,46.900
Carnivora,Mustelidae,Mustela,erminea,70.000
Carnivora,Mustelidae,Mustela,frenata,147.001
Carnivora,Mustelidae,Mustela,nigripes,850.002
Carnivora,Mustelidae,Mustela,vison,944.953
Carnivora,Mustelidae,Spilogale,pygmaea,235.001
Carnivora,Mustelidae,Spilogale,putorius,340.997
Carnivora,Mustelidae,Taxidea,taxus,7107.551
Carnivora,Odobenidae,Odobenus,rosmarus,825000.000
Carnivora,Otariidae,Arctocephalus,townsendi,105000.000
Carnivora,Otariidae,Callorhinus,ursinus,45133.000
Carnivora,Otariidae,Eumetopias,jubatus,310000.000
Carnivora,Otariidae,Zalophus,californianus,80000.000
Carnivora,Phocidae,Cystophora,cristata,201667.000
Carnivora,Phocidae,Erignathus,barbatus,280000.000
Carnivora,Phocidae,Halichoerus,grypus,157667.000
Carnivora,Phocidae,Mirounga,angustirostris,750000.000
Carnivora,Phocidae,Phoca,hispida,90900.000
Carnivora,Phocidae,Phoca,vitulina,100000.000
Carnivora,Phocidae,Phoca,groenlandica,120000.000
Carnivora,Procyonidae,Bassaricyon,lasius,1200.000
Carnivora,Procyonidae,Bassaricyon,pauli,1200.000
Carnivora,Procyonidae,Bassaricyon,gabbii,1250.000
Carnivora,Procyonidae,Bassariscus,sumichrasti,899.995
Carnivora,Procyonidae,Bassariscus,astutus,1129.510
Carnivora,Procyonidae,Nasua,nasua,3793.849
Carnivora,Procyonidae,Nasua,narica,4030.046
Carnivora,Procyonidae,Potos,flavus,3000.000
Carnivora,Procyonidae,Procyon,pygmaeus,2500.000
Carnivora,Procyonidae,Procyon,lotor,5524.971
Carnivora,Ursidae,Ursus,americanus,99949.356
Carnivora,Ursidae,Ursus,arctos,139440.843
Carnivora,Ursidae,Ursus,maritimus,352500.713
Carnivora,Canidae,Atelocynus,microtis,7749.970
Carnivora,Canidae,Cerdocyon,thous,5239.984
Carnivora,Canidae,Chrysocyon,brachyurus,23249.842
Carnivora,Canidae,Pseudalopex,sechurae,4000.000
Carnivora,Canidae,Pseudalopex,gymnocercus,4689.969
Carnivora,Canidae,Pseudalopex,vetulus,5349.953
Carnivora,Canidae,Pseudalopex,griseus,8279.994
Carnivora,Canidae,Pseudalopex,culpaeus,9832.410
Carnivora,Canidae,Speothos,venaticus,5999.983
Carnivora,Canidae,Urocyon,cinereoargenteus,3833.717
Carnivora,Felidae,Herpailurus,yaguarondi,6749.941
Carnivora,Felidae,Leopardus,tigrinus,2250.000
Carnivora,Felidae,Leopardus,wiedii,3249.975
Carnivora,Felidae,Leopardus,pardalis,11900.083
Carnivora,Felidae,Oncifelis,guigna,2229.975
Carnivora,Felidae,Oncifelis,geoffroyi,3590.000
Carnivora,Felidae,Oncifelis,colocolo,3934.957
Carnivora,Felidae,Oreailurus,jacobita,9170.014
Carnivora,Felidae,Panthera,onca,100000.000
Carnivora,Felidae,Puma,concolor,51600.035
Carnivora,Mustelidae,Conepatus,humboldtii,327.997
Carnivora,Mustelidae,Conepatus,semistriatus,1199.997
Carnivora,Mustelidae,Conepatus,chinga,1917.520
Carnivora,Mustelidae,Eira,barbara,3910.029
Carnivora,Mustelidae,Galictis,cuja,1000.000
Carnivora,Mustelidae,Galictis,vittata,3200.000
Carnivora,Mustelidae,Lontra,longicaudis,6554.959
Carnivora,Mustelidae,Lontra,provocax,7499.978
Carnivora,Mustelidae,Lontra,felina,30600.000
Carnivora,Mustelidae,Lyncodon,patagonicus,224.999
Carnivora,Mustelidae,Mustela,frenata,147.001
Carnivora,Mustelidae,Mustela,felipei,211.300
Carnivora,Mustelidae,Mustela,africana,536.995
Carnivora,Mustelidae,Pteronura,brasiliensis,23999.931
Carnivora,Otariidae,Arctocephalus,galapagoensis,27000.000
Carnivora,Otariidae,Arctocephalus,australis,45000.000
Carnivora,Otariidae,Arctocephalus,philippii,95000.000
Carnivora,Otariidae,Otaria,byronia,140000.000
Carnivora,Otariidae,Zalophus,californianus,80000.000
Carnivora,Procyonidae,Bassaricyon,alleni,1235.009
Carnivora,Procyonidae,Bassaricyon,beddardi,1235.009
Carnivora,Procyonidae,Bassaricyon,gabbii,1250.000
Carnivora,Procyonidae,Nasua,nasua,3793.849
Carnivora,Procyonidae,Nasua,narica,4030.046
Carnivora,Procyonidae,Nasuella,olivacea,1339.985
Carnivora,Procyonidae,Potos,flavus,3000.000
Carnivora,Procyonidae,Procyon,cancrivorus,6949.923
Carnivora,Ursidae,Tremarctos,ornatus,140000.633
